Date,Close
2019-08,266.84773114545453
2019-09,275.124082955
2019-10,275.0428891391304
2019-11,287.23069611
2019-12,294.38697015238097
2020-01,304.1665751095238
2020-02,304.53669820000005
2020-03,246.81245559545457
2020-04,257.70435731904763
2020-05,272.90407256500004
2020-06,290.67540810454545
2020-07,300.7408808
2020-08,318.3665146619048
2020-09,316.3479207428571
2020-10,321.74607571363634
2020-11,334.428849775
2020-12,348.68811728636365
2021-01,358.36830380000004
2021-02,367.1841077263158
2021-03,370.31911169565217
2021-04,392.5624970952381
2021-05,395.47744292000004
2021-06,402.67970275909096
2021-07,415.0064057809524
2021-08,423.9969510227273
2021-09,423.7118413952381
2021-10,425.55168806190477
2021-11,445.6754731619048
2021-12,447.0148065681818
2022-01,437.727365105
2022-02,424.9519267736842
2022-03,421.32161148260866
2022-04,421.72351532000005
2022-05,388.51169114761905
2022-06,375.5342756
2022-07,377.257453915
2022-08,401.5852515173913
2022-09,372.4804643904762
2022-10,360.9204377666667
2022-11,379.9162001857143
2022-12,380.0119817809524
2023-01,385.15498352
2023-02,397.23244435789474
2023-03,387.1584419608696
2023-04,402.51820292631584
2023-05,405.4175359590909
2023-06,425.5730329190476
2023-07,441.89712525000004
2023-08,437.43910947391305
2023-09,433.36435090000003
2023-10,419.9780981
2023-11,439.3127107095238
2023-12,462.164723205
2024-01,474.33799088571425
2024-02,495.300862125
2024-03,511.71540068499996
2024-04,506.38537875909094
2024-05,519.1481267727272
2024-06,537.665861431579
2024-07,550.3301641318182
