Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
11/27/19,291.2324342,292.0378113,291.0102767,292.0378113,44444600,27,2,48,11,2019
11/29/19,291.4639237,291.7138791,290.72338,290.9548035,36592700,29,4,48,11,2019
12/2/19,291.2139642,291.2787695,288.0481077,288.4831848,75767800,2,0,49,12,2019
12/3/19,285.7153433,286.6317992,284.3082991,286.5484619,73941700,3,1,49,12,2019
12/4/19,287.6130508,288.9275201,287.2612827,288.3165588,49080000,4,2,49,12,2019
12/5/19,289.0293159,289.0478196,287.5018989,288.8348999,40709000,5,3,49,12,2019
12/6/19,290.7788743,291.880452,290.7696083,291.4731445,48927000,6,4,49,12,2019
12/9/19,291.0751184,291.7601226,290.4826609,290.5567322,34838500,9,0,50,12,2019
12/10/19,290.5011556,291.1768938,289.566196,290.2326965,52649800,10,1,50,12,2019
12/11/19,290.6956065,291.3158337,290.1494506,291.0566406,53429100,11,2,50,12,2019
12/12/19,291.0658926,294.3613602,290.8252314,293.5652771,96389600,12,3,50,12,2019
12/13/19,293.3245764,294.9908421,292.5377311,293.7411499,81503900,13,4,50,12,2019
12/16/19,295.4999012,296.3607894,293.6762837,295.7590942,82749700,16,0,51,12,2019
12/17/19,296.1479425,296.453409,295.740635,295.8239441,61097700,17,1,51,12,2019
12/18/19,296.2220061,296.4534295,295.7869289,295.8424683,48133000,18,2,51,12,2019
12/19/19,296.0367852,297.129125,295.7775921,297.0550537,85310500,19,3,51,12,2019
12/20/19,298.1063291,299.5110082,297.1109884,298.3575134,147142100,20,4,51,12,2019
12/23/19,299.1573879,299.2132003,298.6643593,298.8132019,52990000,23,0,52,12,2019
12/24/19,299.0458205,299.0923214,298.5155741,298.8225708,20270000,24,1,52,12,2019
12/26/19,299.2132757,300.4226111,299.2039925,300.4132996,30911200,26,3,52,12,2019
12/27/19,301.1574567,301.2132691,299.7993072,300.3388367,42528800,27,4,52,12,2019
12/30/19,300.4225957,300.5621267,298.1899853,298.6830139,49729100,30,0,1,12,2019
12/31/19,298.1714171,299.6598147,297.8179194,299.4086304,57077300,31,1,1,12,2019
1/2/20,300.9714355,302.2272717,300.0318791,302.2086487,59151200,2,3,1,1,2020
1/3/20,298.7574515,301.064469,298.701639,299.9202576,77709700,3,4,1,1,2020
1/6/20,298.1341592,301.1481718,298.0132228,301.0644531,55653900,6,0,2,1,2020
1/7/20,300.487646,300.9713915,299.7620563,300.2178955,40496400,7,1,2,1,2020
1/8/20,300.4132534,303.0551452,300.1620975,301.8179321,68296000,8,2,2,1,2020
1/9/20,303.4086605,303.9389069,302.8132902,303.8644714,48473300,9,3,2,1,2020
1/10/20,304.4597927,304.6179184,302.5155847,302.9899902,53029300,10,4,2,1,2020
1/13/20,303.6226119,305.0830746,303.1853957,305.0737915,47086800,13,0,3,1,2020
1/14/20,304.6272983,305.6970742,304.0412395,304.6087036,62832800,14,1,3,1,2020
1/15/20,304.5156254,306.0691182,304.4319068,305.2970276,72056600,15,2,3,1,2020
1/16/20,306.70177,307.8366699,306.4692087,307.8366699,54050300,16,3,3,1,2020
1/17/20,308.5621776,309.0086769,307.7714639,308.7947388,95846000,17,4,3,1,2020
1/21/20,307.8179713,309.0086834,307.7435642,308.1900635,77742400,21,1,4,1,2020
1/22/20,309.0645095,309.7250037,308.0691692,308.2272949,48914900,22,2,4,1,2020
1/23/20,307.5668167,308.9994015,306.431917,308.58078,51963000,23,3,4,1,2020
1/24/20,309.2505893,309.334308,304.5249298,305.8365784,87578400,24,4,4,1,2020
1/27/20,300.4970184,302.4412269,300.1528323,300.9342346,84062500,27,0,5,1,2020
1/28/20,302.3853438,304.9807345,301.0271945,304.0877075,63834000,28,1,5,1,2020
1/29/20,305.4738184,305.7063797,303.6319234,303.8365784,53888900,29,2,5,1,2020
1/30/20,301.7342121,305.0365984,300.9714328,304.8226318,75491800,30,3,5,1,2020
1/31/20,304.1900074,304.3481615,298.3573835,299.2876282,113845600,31,4,5,1,2020
2/3/20,300.7945862,303.4085711,300.6736498,301.5108643,69083000,3,0,6,2,2020
2/4/20,305.1854509,306.9901283,304.8598595,306.1063843,62573200,4,1,6,2,2020
2/5/20,309.0924553,309.8552629,307.6040862,309.6412964,65951100,5,2,6,2,2020
2/6/20,310.6180731,310.8785405,309.5854865,310.683197,50359700,6,3,6,2,2020
